DATE,biomass_energy
2010-01-01,0.42167006807668805
2010-01-02,0.46936991679284557
2010-01-03,0.5087121639056924
2010-01-04,0.4234724450389462
2010-01-05,0.7627742512324367
2010-01-06,0.527498263449967
2010-01-07,0.41082456015257307
2010-01-08,0.6160756566161092
2010-01-09,0.5140559041347634
2010-01-10,0.2908703620594153
2010-01-11,0.4455851887296942
2010-01-12,0.5411702986300864
2010-01-13,0.4171910525707856
2010-01-14,0.425989414087379
2010-01-15,0.45480536732952603
2010-01-16,0.3280033718713431
2010-01-17,0.3731842525469524
2010-01-18,0.48038471436172614
2010-01-19,0.4779830443228015
2010-01-20,0.7159529833484852
2010-01-21,0.5278801542353304
2010-01-22,0.3069052297173618
2010-01-23,0.37289555881958436
2010-01-24,0.41582596703251506
2010-01-25,0.46874996151493975
2010-01-26,0.48759754791490373
2010-01-27,0.2811185288988667
2010-01-28,0.42892082298624357
2010-01-29,0.4712260702126345
2010-01-30,0.48840264793872845
2010-01-31,0.6136152066899843
2010-02-01,0.4556478651641742
2010-02-02,0.3988483961107585
2010-02-03,0.3460756884452989
2010-02-04,0.1930758720729524
2010-02-05,0.5343370118060413
2010-02-06,0.432119989739697
2010-02-07,0.24289717496901342
2010-02-08,0.6118459737309232
2010-02-09,0.3727236930927176
2010-02-10,0.5132778678464527
2010-02-11,0.5530943222942264
2010-02-12,0.5087385851080264
2010-02-13,0.42763997473773707
2010-02-14,0.4949005621897602
2010-02-15,0.30142279156214724
2010-02-16,0.3832426335281369
2010-02-17,0.48504532283291324
2010-02-18,0.6713060834416791
2010-02-19,0.5649283734650337
2010-02-20,0.509752841580678
2010-02-21,0.48917059407636176
2010-02-22,0.48085880270902703
2010-02-23,0.5060449432326399
2010-02-24,0.5019317194863151
2010-02-25,0.29699796302108505
2010-02-26,0.3626105123604195
2010-02-27,0.5579951340605325
2010-02-28,0.4545340100992534
2010-03-01,0.47799537144084603
2010-03-02,0.3991862376770092
2010-03-03,0.6497008219754441
2010-03-04,0.29437417580618064
2010-03-05,0.5383547539319535
2010-03-06,0.8599405519972805
2010-03-07,0.44495567279604664
2010-03-08,0.3896859919526885
2010-03-09,0.43365630739572647
2010-03-10,0.34881945385810065
2010-03-11,0.1898935480179471
2010-03-12,0.5367994012304689
2010-03-13,0.41165890733484645
2010-03-14,0.24614385943087447
2010-03-15,0.5244717239441865
2010-03-16,0.3937814805933708
2010-03-17,0.4753975384018432
2010-03-18,0.3232916701135895
2010-03-19,0.29925831145671467
2010-03-20,0.712985997149473
2010-03-21,0.2333698238635098
2010-03-22,0.30653633833012917
2010-03-23,0.14596793920065476
2010-03-24,0.4295957505473207
2010-03-25,0.24255946428915087
2010-03-26,0.38330840393835963
2010-03-27,0.5552427807158302
2010-03-28,0.6708039259134255
2010-03-29,0.40080169697772305
2010-03-30,0.49292417772336883
2010-03-31,0.3121334567591978
2010-04-01,0.45254287116724856
2010-04-02,0.5181886418517379
2010-04-03,0.4465288319957488
2010-04-04,0.36302701664616044
2010-04-05,0.3919424137966627
2010-04-06,0.4212692939550926
2010-04-07,0.4551170048458604
2010-04-08,0.5780475683376425
2010-04-09,0.2899254515751446
